comparison,lwr,upr,p adj
adeABC-BZK-adeABC-AgNO3,-6.466103445,-1.165447031,8.02E-05
adeABC-CHL-adeABC-AgNO3,-8.052608691,-2.751952277,2.09E-09
adeIJK-CHL-adeABC-AgNO3,-6.908782685,-1.608126272,4.72E-06
adeIJK-TRC-adeABC-AgNO3,-5.424272139,-0.123615725,0.028160052
adeABC-BZK-adeIJK-AgNO3,-5.936612955,-0.635956541,0.001899776
adeABC-CHL-adeIJK-AgNO3,-7.523118201,-2.222461787,7.83E-08
adeIJK-CHL-adeIJK-AgNO3,-6.379292195,-1.078635782,0.000137462
adeABC-BZK-ttg2ABC-AgNO3,-6.924055998,-1.623399584,4.28E-06
adeABC-CHL-ttg2ABC-AgNO3,-8.510561244,-3.20990483,8.00E-11
adeIJK-CHL-ttg2ABC-AgNO3,-7.366735238,-2.066078825,2.25E-07
adeIJK-CRL-ttg2ABC-AgNO3,-5.714386811,-0.413730397,0.006462597
adeIJK-TRC-ttg2ABC-AgNO3,-5.882224692,-0.581568278,0.002580766
adeABC-BZK-znuABC-AgNO3,-7.654423295,-2.353766881,3.21E-08
adeIJK-BZK-znuABC-AgNO3,-5.892083285,-0.591426871,0.002442108
adeABC-CHL-znuABC-AgNO3,-9.240928541,-3.940272127,0
adeIJK-CHL-znuABC-AgNO3,-8.097102535,-2.796446122,1.54E-09
adeIJK-CRL-znuABC-AgNO3,-6.444754108,-1.144097694,9.17E-05
adeIJK-TRC-znuABC-AgNO3,-6.612591989,-1.311935575,3.19E-05
ttg2ABC-BZK-adeABC-BZK,0.418872576,5.719528989,0.006287509
znuABC-BZK-adeABC-BZK,0.484826301,5.785482714,0.004403883
ttg2ABC-CHL-adeABC-BZK,0.985093952,6.285750366,0.000243636
znuABC-CHL-adeABC-BZK,3.178197394,8.478853807,1.02E-10
adeABC-CRL-adeABC-BZK,0.838088481,6.138744894,0.000588422
ttg2ABC-CRL-adeABC-BZK,0.228298871,5.528955284,0.016869302
znuABC-CRL-adeABC-BZK,0.643783337,5.94443975,0.001817236
adeABC-CTAB-adeABC-BZK,0.706207648,6.006864061,0.001271442
adeIJK-CTAB-adeABC-BZK,1.1541531,6.454809514,8.61E-05
ttg2ABC-CTAB-adeABC-BZK,2.359537799,7.660194213,3.09E-08
znuABC-CTAB-adeABC-BZK,1.396541677,6.697198091,1.86E-05
adeABC-EtOH-adeABC-BZK,1.319263308,6.619919721,3.05E-05
