gene_name,biocide,logFC
BAL062_00181,AgNO3,-0.273687228
BAL062_00181,BZK,-0.084585458
BAL062_00181,CTAB,1.214684487
BAL062_00181,CHL,-0.394137999
BAL062_00181,TRC,-0.592825197
BAL062_00181,CRL,-0.352099396
BAL062_00181,PVPi,0.227698961
BAL062_00181,HClO,0.318274134
BAL062_00181,GLU,0.437497921
BAL062_00181,EtOH,0.815417778
BAL062_01982,AgNO3,0.021567191
BAL062_01982,BZK,-0.047966588
BAL062_01982,CTAB,-0.21411364
BAL062_01982,CHL,3.285088118
BAL062_01982,TRC,-0.08957083
BAL062_01982,CRL,-0.122424686
BAL062_01982,PVPi,-0.193827729
BAL062_01982,HClO,0.110200874
BAL062_01982,GLU,0.011972682
BAL062_01982,EtOH,-0.134004509
mlaC,AgNO3,0.711376356
mlaC,BZK,-0.936533936
mlaC,CTAB,1.340423084
mlaC,CHL,-0.382889182
mlaC,TRC,-1.385995934
mlaC,CRL,-0.986361055
mlaC,PVPi,0.241147238
mlaC,HClO,0.211083592
mlaC,GLU,0.386128094
mlaC,EtOH,0.126573353
zur,AgNO3,1.458700212
zur,BZK,-0.812143205
zur,CTAB,0.255194368
zur,CHL,1.636698949
zur,TRC,-0.858879829
zur,CRL,-0.426636851
zur,PVPi,-0.244221695
zur,HClO,0.095316519
zur,GLU,-0.158491376
zur,EtOH,-0.308166626
