"comparison","lwr","upr","p adj"
"adeABC-BZK-adeABC-AgNO3",-6.46610344471995,-1.16544703128006,8.02480350008405e-05
"adeABC-CHL-adeABC-AgNO3",-8.05260869071995,-2.75195227728007,2.09286121766183e-09
"adeIJK-CHL-adeABC-AgNO3",-6.90878268538662,-1.60812627194673,4.72485516089804e-06
"adeIJK-TRC-adeABC-AgNO3",-5.42427213871996,-0.123615725280074,0.0281600515420394
"adeABC-BZK-adeIJK-AgNO3",-5.93661295471993,-0.635956541280049,0.00189977600343572
"adeABC-CHL-adeIJK-AgNO3",-7.52311820071993,-2.22246178728005,7.83457252406805e-08
"adeIJK-CHL-adeIJK-AgNO3",-6.3792921953866,-1.07863578194672,0.000137461864377464
"adeABC-BZK-ttg2ABC-AgNO3",-6.92405599771993,-1.62339958428005,4.27558575522013e-06
"adeABC-CHL-ttg2ABC-AgNO3",-8.51056124371993,-3.20990483028005,8.00366439790423e-11
"adeIJK-CHL-ttg2ABC-AgNO3",-7.3667352383866,-2.06607882494672,2.25413255505735e-07
"adeIJK-CRL-ttg2ABC-AgNO3",-5.71438681071994,-0.413730397280056,0.00646259727992748
"adeIJK-TRC-ttg2ABC-AgNO3",-5.88222469171994,-0.58156827828006,0.00258076603305279
"adeABC-BZK-znuABC-AgNO3",-7.65442329471994,-2.35376688128006,3.20933983832816e-08
"adeIJK-BZK-znuABC-AgNO3",-5.89208328471994,-0.591426871280061,0.00244210816820789
"adeABC-CHL-znuABC-AgNO3",-9.24092854071994,-3.94027212728006,0
"adeIJK-CHL-znuABC-AgNO3",-8.09710253538661,-2.79644612194673,1.53880641562409e-09
"adeIJK-CRL-znuABC-AgNO3",-6.44475410771995,-1.14409769428006,9.16601901443936e-05
"adeIJK-TRC-znuABC-AgNO3",-6.61259198871995,-1.31193557528007,3.19103655980202e-05
"ttg2ABC-BZK-adeABC-BZK",0.418872575613381,5.71952898905326,0.00628750904951714
"znuABC-BZK-adeABC-BZK",0.484826300946715,5.7854827143866,0.00440388291060445
"ttg2ABC-CHL-adeABC-BZK",0.985093952280048,6.28575036571993,0.000243635808617193
"znuABC-CHL-adeABC-BZK",3.17819739361338,8.47885380705326,1.01956887377241e-10
"adeABC-CRL-adeABC-BZK",0.838088480946709,6.13874489438659,0.000588422040391778
"ttg2ABC-CRL-adeABC-BZK",0.228298870613381,5.52895528405326,0.0168693015613728
"znuABC-CRL-adeABC-BZK",0.643783336946715,5.9444397503866,0.00181723643925735
"adeABC-CTAB-adeABC-BZK",0.706207647613384,6.00686406105327,0.00127144204282681
"adeIJK-CTAB-adeABC-BZK",1.15415310028005,6.45480951371993,8.61000316019211e-05
"ttg2ABC-CTAB-adeABC-BZK",2.35953779928005,7.66019421271993,3.08559492401272e-08
"znuABC-CTAB-adeABC-BZK",1.39654167728005,6.69719809071993,1.85983340350582e-05
"adeABC-EtOH-adeABC-BZK",1.31926330794671,6.61991972138659,3.04587473933804e-05
"adeIJK-EtOH-adeABC-BZK",1.25680618728005,6.55746260071993,4.5237870212933e-05
"ttg2ABC-EtOH-adeABC-BZK",1.36050397061338,6.66116038405326,2.34209699669918e-05
"znuABC-EtOH-adeABC-BZK",0.946598737613381,6.24725515105327,0.000307584102840153
"adeABC-GLU-adeABC-BZK",1.10802499994671,6.40868141338659,0.000114648333121803
"adeIJK-GLU-adeABC-BZK",1.08962195294671,6.3902783663866,0.000128457416475714
"ttg2ABC-GLU-adeABC-BZK",1.52215048594671,6.8228068993866,8.27186191809659e-06
"znuABC-GLU-adeABC-BZK",0.948671456946714,6.2493278703866,0.000303759708643936
"adeABC-HClO-adeABC-BZK",1.17016438128005,6.47082079471993,7.79206267650379e-05
"adeIJK-HClO-adeABC-BZK",1.00023217294671,6.3008885863866,0.000222208612152386
"ttg2ABC-HClO-adeABC-BZK",1.52681940261338,6.82747581605326,8.02495869001163e-06
"znuABC-HClO-adeABC-BZK",1.22191812728005,6.52257454071993,5.63513106517366e-05
"adeABC-PVPi-adeABC-BZK",1.11700728028005,6.41766369371993,0.000108445974132731
"adeIJK-PVPi-adeABC-BZK",1.20749077094671,6.5081471843866,6.16928186545351e-05
"ttg2ABC-PVPi-adeABC-BZK",1.46885528728005,6.76951170071993,1.16795322893104e-05
"znuABC-PVPi-adeABC-BZK",0.893648971280047,6.19430538471993,0.000422785500124534
"adeABC-TRC-adeABC-BZK",0.0932097676133674,5.39386618105325,0.0325365873236796
"znuABC-TRC-adeABC-BZK",0.276699055946714,5.5773554693866,0.0132122260973839
"adeABC-CHL-adeIJK-BZK",-5.99917346271994,-0.698517049280056,0.00132899937398212
