gene_name,group,biocide,logFC
adeA,adeABC,AgNO3,0
adeA,adeABC,BZK,-3.280394478
adeA,adeABC,CTAB,-0.137016079
adeA,adeABC,CHL,-6.30206488
adeA,adeABC,TRC,0.015801163
adeA,adeABC,CRL,0.091375242
adeA,adeABC,PVPi,-0.003796745
adeA,adeABC,HClO,0.100545569
adeA,adeABC,GLU,-0.008003021
adeA,adeABC,EtOH,0.121986377
adeB,adeABC,AgNO3,0
adeB,adeABC,BZK,-6.850787779
adeB,adeABC,CTAB,-1.15702331
adeB,adeABC,CHL,-6.423967217
adeB,adeABC,TRC,-2.988642825
adeB,adeABC,CRL,-1.01654119
adeB,adeABC,PVPi,-0.024674203
adeB,adeABC,HClO,-0.120996216
adeB,adeABC,GLU,-0.017687471
adeB,adeABC,EtOH,0.267834979
adeC,adeABC,AgNO3,0
adeC,adeABC,BZK,-1.316143457
adeC,adeABC,CTAB,-0.083678762
adeC,adeABC,CHL,-3.480809355
adeC,adeABC,TRC,-0.243870129
adeC,adeABC,CRL,-0.056909703
adeC,adeABC,PVPi,-0.116848305
adeC,adeABC,HClO,0.034602697
adeC,adeABC,GLU,-0.146575602
adeC,adeABC,EtOH,0.071627474
adeK,adeIJK,AgNO3,-0.80572919
adeK,adeIJK,BZK,-4.056168543
adeK,adeIJK,CTAB,-0.039555535
adeK,adeIJK,CHL,-6.323323109
adeK,adeIJK,TRC,-4.770244473
adeK,adeIJK,CRL,-3.319009781
adeK,adeIJK,PVPi,0.024692354
adeK,adeIJK,HClO,-0.111545468
adeK,adeIJK,GLU,-0.085882558
adeK,adeIJK,EtOH,0.156149894
adeJ,adeIJK,AgNO3,-0.410025075
adeJ,adeIJK,BZK,-1.199552047
adeJ,adeIJK,CTAB,-0.002030622
adeJ,adeIJK,CHL,-4.155561403
adeJ,adeIJK,TRC,-2.143690635
adeJ,adeIJK,CRL,-2.550149004
adeJ,adeIJK,PVPi,0.027665793
adeJ,adeIJK,HClO,-0.117008478
adeJ,adeIJK,GLU,-0.052492445
adeJ,adeIJK,EtOH,0.080001816
adeI,adeIJK,AgNO3,-0.372717205
adeI,adeIJK,BZK,-0.904585094
adeI,adeIJK,CTAB,0.007704364
adeI,adeIJK,CHL,-2.296478924
adeI,adeIJK,TRC,-1.407896688
adeI,adeIJK,CRL,-1.949159368
adeI,adeIJK,PVPi,0.073773072
adeI,adeIJK,HClO,-0.267090629
adeI,adeIJK,GLU,-0.089100232
adeI,adeIJK,EtOH,0.037925758
znuA,znuABC,AgNO3,1.159573478
znuA,znuABC,BZK,-0.658262533
znuA,znuABC,CTAB,0.100467397
znuA,znuABC,CHL,1.472732199
znuA,znuABC,TRC,-0.876461185
znuA,znuABC,CRL,-0.595744642
znuA,znuABC,PVPi,-0.31185164
znuA,znuABC,HClO,-0.088883165
znuA,znuABC,GLU,-0.362579395
znuA,znuABC,EtOH,-0.370294067
znuC,znuABC,AgNO3,1.371640856
znuC,znuABC,BZK,-0.686895277
znuC,znuABC,CTAB,0.247934464
znuC,znuABC,CHL,2.536752431
znuC,znuABC,TRC,-0.92913815
znuC,znuABC,CRL,-0.541912852
znuC,znuABC,PVPi,-0.305396527
znuC,znuABC,HClO,0.049507725
znuC,znuABC,GLU,-0.159202359
znuC,znuABC,EtOH,-0.172135882
znuB,znuABC,AgNO3,1.033745216
znuB,znuABC,BZK,-0.696704381
znuB,znuABC,CTAB,0.344882077
znuB,znuABC,CHL,2.028766457
znuB,znuABC,TRC,-0.860644591
znuB,znuABC,CRL,-0.427333589
znuB,znuABC,PVPi,-0.198146013
znuB,znuABC,HClO,0.208788728
znuB,znuABC,GLU,-0.128544969
znuB,znuABC,EtOH,-0.114114932
ttg2A,ttg2ABC,AgNO3,0.535038062
ttg2A,ttg2ABC,BZK,-0.876555453
ttg2A,ttg2ABC,CTAB,1.182448568
ttg2A,ttg2ABC,CHL,-0.550139736
ttg2A,ttg2ABC,TRC,-1.28268854
ttg2A,ttg2ABC,CRL,-1.059670682
ttg2A,ttg2ABC,PVPi,0.237298709
ttg2A,ttg2ABC,HClO,0.240096863
ttg2A,ttg2ABC,GLU,0.347742753
ttg2A,ttg2ABC,EtOH,0.052627642
ttg2B,ttg2ABC,AgNO3,0.297448036
ttg2B,ttg2ABC,BZK,-0.426619289
ttg2B,ttg2ABC,CTAB,1.154521446
ttg2B,ttg2ABC,CHL,-0.168985994
ttg2B,ttg2ABC,TRC,-1.098217055
ttg2B,ttg2ABC,CRL,-0.647734022
ttg2B,ttg2ABC,PVPi,0.359806736
ttg2B,ttg2ABC,HClO,0.643774039
ttg2B,ttg2ABC,GLU,0.419884438
ttg2B,ttg2ABC,EtOH,0.537591761
ttg2C,ttg2ABC,AgNO3,0.541371561
ttg2C,ttg2ABC,BZK,-0.936548625
ttg2C,ttg2ABC,CTAB,1.24530229
ttg2C,ttg2ABC,CHL,0.178066493
ttg2C,ttg2ABC,TRC,-1.287070931
ttg2C,ttg2ABC,CRL,-1.104039778
ttg2C,ttg2ABC,PVPi,0.313119323
ttg2C,ttg2ABC,HClO,0.200246212
ttg2C,ttg2ABC,GLU,0.302483173
ttg2C,ttg2ABC,EtOH,-0.005048585
BAL062_00181,BAL062_00181,AgNO3,-0.273687228
BAL062_00181,BAL062_00181,BZK,-0.084585458
BAL062_00181,BAL062_00181,CTAB,1.214684487
BAL062_00181,BAL062_00181,CHL,-0.394137999
BAL062_00181,BAL062_00181,TRC,-0.592825197
BAL062_00181,BAL062_00181,CRL,-0.352099396
BAL062_00181,BAL062_00181,PVPi,0.227698961
BAL062_00181,BAL062_00181,HClO,0.318274134
BAL062_00181,BAL062_00181,GLU,0.437497921
BAL062_00181,BAL062_00181,EtOH,0.815417778
BAL062_01982,BAL062_01982,AgNO3,0.021567191
BAL062_01982,BAL062_01982,BZK,-0.047966588
BAL062_01982,BAL062_01982,CTAB,-0.21411364
BAL062_01982,BAL062_01982,CHL,3.285088118
BAL062_01982,BAL062_01982,TRC,-0.08957083
BAL062_01982,BAL062_01982,CRL,-0.122424686
BAL062_01982,BAL062_01982,PVPi,-0.193827729
BAL062_01982,BAL062_01982,HClO,0.110200874
BAL062_01982,BAL062_01982,GLU,0.011972682
BAL062_01982,BAL062_01982,EtOH,-0.134004509
mlaC,mlaC,AgNO3,0.711376356
mlaC,mlaC,BZK,-0.936533936
mlaC,mlaC,CTAB,1.340423084
mlaC,mlaC,CHL,-0.382889182
mlaC,mlaC,TRC,-1.385995934
mlaC,mlaC,CRL,-0.986361055
mlaC,mlaC,PVPi,0.241147238
mlaC,mlaC,HClO,0.211083592
mlaC,mlaC,GLU,0.386128094
mlaC,mlaC,EtOH,0.126573353
zur,zur,AgNO3,1.458700212
zur,zur,BZK,-0.812143205
zur,zur,CTAB,0.255194368
zur,zur,CHL,1.636698949
zur,zur,TRC,-0.858879829
zur,zur,CRL,-0.426636851
zur,zur,PVPi,-0.244221695
zur,zur,HClO,0.095316519
zur,zur,GLU,-0.158491376
zur,zur,EtOH,-0.308166626
