comparison,lwr,upr,p adj
adeB-adeK,-2.177308152,2.376934387,1
amvA-adeK,-1.494148894,3.060093645,0.999993784
adeS-adeK,-1.481796475,3.072446064,0.999991157
adeJ-adeK,-1.396343839,3.157898701,0.999920485
adeA-adeK,-1.284216314,3.270026225,0.999183105
adeI-adeK,-1.060822123,3.493420416,0.97934596
corA_1-adeK,-1.052809351,3.501433188,0.977444535
adeR-adeK,-0.901691361,3.652551178,0.91038137
adeC-adeK,-0.877920143,3.676322396,0.89337275
BAL062_03669-adeK,-0.837691941,3.716550599,0.8601993
feoB-adeK,-0.771921196,3.782321344,0.794499193
BAL062_00226-adeK,-0.710831886,3.843410653,0.7224264
yadH-adeK,-0.696202804,3.858039736,0.703903598
czcA_1-adeK,-0.558189504,3.996053036,0.517206978
yccS_2-adeK,-0.479669377,4.074573163,0.412328712
ttg2A-adeK,-0.46143981,4.092802729,0.38915263
acrR_1-adeK,-0.45787653,4.096366009,0.384689557
mlaC-adeK,-0.411564468,4.142678072,0.328925674
ttg2C-adeK,-0.399271516,4.154971024,0.31488327
mdtA-adeK,-0.398379447,4.155863092,0.313877454
znuA-adeK,-0.397189984,4.157052555,0.312539136
yadG-adeK,-0.370910542,4.183331998,0.283809267
zur-adeK,-0.280322582,4.273919957,0.197752023
ttg2B-adeK,-0.236912619,4.31732992,0.163793982
znuB-adeK,-0.224990229,4.329252311,0.155274732
BAL062_00181-adeK,-0.212435829,4.341806711,0.146670353
znuC-adeK,-0.202944186,4.351298354,0.140410681
BAL062_01982-adeK,-0.081367541,4.472874999,0.077334747
hmrR_2-adeK,-0.060742588,4.493499952,0.069428131
ytfL-adeK,0.052323341,4.60656588,0.03722454
actP_3-adeK,0.087334354,4.641576894,0.030369293
BAL062_01495-adeK,0.527027351,5.08126989,0.001631522
amvA-adeB,-1.593962012,2.960280527,0.999999753
adeS-adeB,-1.581609593,2.972632947,0.999999618
adeJ-adeB,-1.496156957,3.058085583,0.999994136
adeA-adeB,-1.384029432,3.170213108,0.999894332
adeI-adeB,-1.160635241,3.393607298,0.994055152
corA_1-adeB,-1.152622469,3.401620071,0.993358694
adeR-adeB,-1.001504479,3.552738061,0.961832674
adeC-adeB,-0.977733261,3.576509279,0.952314322
BAL062_03669-adeB,-0.937505059,3.616737481,0.93242667
feoB-adeB,-0.871734313,3.682508226,0.888630678
BAL062_00226-adeB,-0.810645004,3.743597536,0.834841397
yadH-adeB,-0.796015921,3.758226618,0.820141225
czcA_1-adeB,-0.658002621,3.896239918,0.65381897
yccS_2-adeB,-0.579482495,3.974760045,0.546486506
ttg2A-adeB,-0.561252928,3.992989612,0.521408856
acrR_1-adeB,-0.557689648,3.996552892,0.516521803
mlaC-adeB,-0.511377586,4.042864954,0.45385143
ttg2C-adeB,-0.499084633,4.055157906,0.437588735
