locus_tag,gene_name,function,logFC_AgNO3,PValue,q.value,logFC_BZK,PValue,q.value,logFC_CTAB,PValue,q.value,logFC_CHL,PValue,q.value,logFC_TRC,PValue,q.value,logFC_CRL,PValue,q.value,logFC_PVPi,PValue,q.value,logFC_HClO,PValue,q.value,logFC_GLU,PValue,q.value,logFC_EtOH,PValue,q.value
BAL062_00001,dnaA,"DNA replication initiator protein, transcriptional regulator of replication and housekeeping genes,Chromosomal replication initiator protein DnaA,chromosomal replication initiation protein,DNA replication protein,chromosomal replication initiator protein DnaA,Bacterial dnaA protein",X,X,X,X,,,2.365238681,1,1,X,X,X,X,,,2.343581793,1,1,X,X,X,X,X,X,X,X,X,2.316518447,1,1
BAL062_00002,dnaN,"DNA polymerase III beta,DNA polymerase III subunit beta,DNA polymerase III subunit beta,DNA polymerase III, beta subunit,DNA polymerase III beta subunit, N-terminal domain",X,X,X,X,,,X,X,X,2.597424573,1,1,X,,,X,X,X,3.236275635,0.503036856,1,X,X,X,2.359346474,1,1,X,X,X
BAL062_00003,recF,"recF, DNA replication, recombinaison and repair protein,DNA replication and repair protein recF,recombination protein F,Recombinational DNA repair ATPase (RecF pathway),DNA replication and repair protein RecF,RecF/RecN/SMC N terminal domain",-0.178578888,0.175745235,0.577899202,-0.070969325,0.266770782,0.753531583,-0.091714604,0.19967736,0.537638046,-0.622827308,0.402787395,1,0.051411755,0.360912889,0.636964118,-0.039662065,0.57666576,0.942318247,-0.030092025,0.743290872,1,-0.170966515,0.04774635,0.528323744,-0.24692603,0.000363385,0.008094403,-0.061898734,0.44762447,0.987690888
BAL062_00004,gyrB,"DNA gyrase, subunit B (type II topoisomerase),DNA gyrase subunit B,DNA gyrase subunit B,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA gyrase, B subunit,DNA gyrase B",-3.439289236,0.508459811,0.877305729,1.392648776,0.62772459,0.938072092,-2.280171406,1,1,1.931327438,0.632681511,1,2.302872642,1,1,X,X,X,2.66559199,0.076047462,0.991670008,-2.302763726,1,1,-2.284879363,1,1,-2.32654069,1,1
BAL062_00005,cybC,"CybC, Cytochrome b562 family protein,Soluble cytochrome b562 precursor,cytochrome b562,Soluble cytochrome b562,Cytochrome b562",-0.075972862,0.596727111,0.915620866,-0.081852809,0.230727413,0.7221816,-0.05855187,0.417742067,0.764929164,-1.304472551,0.273458255,0.934253922,0.039522535,0.531253653,0.775402403,-0.094114026,0.179834314,0.692896783,0.000664179,0.998693287,1,-0.095720225,0.299562296,1,-0.015096107,0.840406591,1,-0.10307276,0.122637455,0.724810002
BAL062_00006,dedA_1,"Putative DedA family protein,hypothetical protein,hypothetical protein,SNARE associated Golgi protein",-0.274314534,0.022269117,0.143384985,0.025850751,0.778129918,0.973953765,-0.236129,0.00110489,0.01193078,-2.080401749,0.046624988,0.427702028,0.507487865,7.20E-19,3.11E-17,-0.243472084,2.27E-05,0.000609227,-0.044515053,0.738228223,1,-0.184089456,0.027942304,0.367374278,-0.081246839,0.261263387,0.784657151,-0.352432442,1.83E-05,0.000718928
BAL062_00007,yheS_1,"ABC transporter ATPase,Uncharacterized ABC transporter ATP-binding protein YheS,putative ABC transporter ATP-binding protein,ATP-dependent transcriptional regulator,ATP-binding cassette protein, ChvD family,ABC transporter",-0.151808755,0.309283731,0.743078834,-0.062963065,0.409112674,0.857118863,-0.048640716,0.604994383,0.871932721,0.420874569,0.428819956,1,0.230348324,0.000353084,0.003489416,-0.126643418,0.173625851,0.684483166,-0.001569468,0.989684327,1,-0.063524722,0.601885065,1,-0.003382336,0.962861547,1,-0.04393702,0.669555905,1
BAL062_00008,BAL062_00008,"AdeT, RND type efflux pump",-0.141902486,0.286315298,0.718121787,-0.091830033,0.201955168,0.694749376,-0.098513508,0.246121696,0.598111293,-0.152790435,0.80578324,1,-0.024423752,0.690381182,0.878350272,-0.123793739,0.138456391,0.617635468,-0.04494802,0.665102796,1,-0.08328753,0.431563306,1,-0.088066965,0.228234806,0.746514118,-0.116388073,0.206105541,0.870001769
BAL062_00009,BAL062_00009,putative RND type efflux pump involved in aminoglycoside resistance (AdeT),0.024769468,0.842627219,0.991467909,0.007868712,0.909436384,1,-0.061809712,0.350803764,0.712542715,0.735360946,0.304542975,0.962175409,0.175142744,0.001589074,0.01252437,0.000920626,0.991046857,1,0.011267433,0.902825693,1,-0.059029177,0.473991047,1,-0.030310325,0.662521521,0.966337677,-0.010725641,0.886299848,1
BAL062_00010,adeT,RND type efflux pump involved in aminoglycoside resistance,-0.175569165,0.197441068,0.610256715,-0.091055189,0.246777736,0.742692781,-0.077105002,0.367784915,0.726373022,-0.305895144,0.604595398,1,0.060474154,0.33159793,0.605988365,-0.049223608,0.565529774,0.93809088,-0.018526258,0.857953238,1,-0.112994057,0.293311125,1,-0.120976209,0.085664209,0.484614671,-0.116392195,0.203757279,0.868119069
